id,observed_on_string,image_url,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
4342328,2016/10/12 9:54 AM EDT,https://static.inaturalist.org/photos/5212858/medium.jpg?1476388071,33.7791116606,-84.4370126724,Late Goldenrod,Solidago altissima,tall goldenrod,Plantae,79148
4342337,2016/10/12 9:54 AM EDT,https://static.inaturalist.org/photos/5212901/medium.jpg?1476388218,33.7801461042,-84.4373559952,Broomsedge bluestem,Andropogon virginicus,broomsedge bluestem,Plantae,75433
4342419,2016/10/12 9:53 AM EDT,https://static.inaturalist.org/photos/5212914/medium.jpg?1476388268,33.7795397078,-84.4374847412,Annual Fleabane,Erigeron annuus,annual fleabane,Plantae,76897
4487567,Thu Nov 03 2016 12:29:58 GMT-0400 (EDT),https://static.inaturalist.org/photos/5419510/medium.jpg?1478190643,33.7767865509,-84.4482201152,Domestic Dog,Canis familiaris,Dog,Mammalia,47144
13395626,Wed Jun 13 2018 11:44:28 GMT-0400 (EDT),https://static.inaturalist.org/photos/19647606/medium.jpg?1528904728,33.7758743263,-84.4388212478,Tetragnatha,Tetragnatha,,Arachnida,47550
13396745,Wed Jun 13 2018 12:29:01 GMT-0400 (EDT),https://static.inaturalist.org/photos/19649609/medium.jpg?1528907405,33.7758822693,-84.4391741977,Mushroom,Pluteus,,Fungi,60783
13776987,Wed Jun 13 2018 12:41:37 GMT-0400 (EDT),https://static.inaturalist.org/photos/20314723/medium.jpg?1529949501,33.7765216667,-84.4388716667,Cambaridae,Cambarus,,Animalia,82104
13777097,Mon Jun 18 2018 12:17:50 GMT-0400 (EDT),https://static.inaturalist.org/photos/20314935/medium.jpg?1529949767,33.7834901431,-84.4476303772,,Amphibia,Amphibians,Amphibia,20978
13777154,Mon Jun 18 2018 12:16:31 GMT-0400 (EDT),https://static.inaturalist.org/photos/20315053/medium.jpg?1529949895,33.78345,-84.4483416667,Green Sunfish,Lepomis cyanellus,Green Sunfish,Actinopterygii,58636
13777312,Mon Jun 18 2018 12:07:19 GMT-0400 (EDT),https://static.inaturalist.org/photos/20315385/medium.jpg?1529950413,33.7837783333,-84.4483416667,Eastern Mosquitofish,Gambusia holbrooki,Eastern Mosquitofish,Actinopterygii,101204
14220444,Mon Jul 09 2018 14:53:22 GMT-0400 (EDT),https://static.inaturalist.org/photos/21097539/medium.jpg?1531193980,33.7749116667,-84.440925,tulip tree,Liriodendron tulipifera,tulip tree,Plantae,53582
15296255,2018/07/22 6:12 PM CDT,https://static.inaturalist.org/photos/22897798/medium.jpeg?1533928653,33.7716716667,-84.4408516667,Red-tailed Hawk,Buteo jamaicensis,Red-tailed Hawk,Aves,5212
18048324,2018-10-16 11:48:32 AM EDT,https://static.inaturalist.org/photos/27595854/medium.jpeg?1541219266,33.7813873087,-84.4519425184,Wild Turkey,Meleagris gallopavo,Wild Turkey,Aves,906
18261005,2018-11-08 10:12:02 AM EST,https://static.inaturalist.org/photos/27895765/medium.jpeg?1541690090,33.7858314514,-84.4486083984,,Stylommatophora,Common Land Snails and Slugs,Mollusca,47485
